id,sentence_pt,reference_en,seamless_translation,latency_sec
common_voice_pt_19484624,Pedir dinheiro emprestado às pessoas da aldeia,Borrow money from people in the village,Asking people in the village to lend money,1.4780340194702148
common_voice_pt_19405032,Trancá-los,Lock them up,Turn off the bus.,0.9308900833129883
common_voice_pt_19522569,O Youtube ainda é a melhor plataforma de vídeos.,Youtube is still the best video platform.,YouTube is still the best video platform.,1.0353505611419678
common_voice_pt_19665686,Menina e menino beijando nas sombras,A girl and a boy kissing in the shadows,Girl and boy kissing in the shadows.,2.066535234451294
common_voice_pt_19854926,O mago lançou um feitiço muito poderoso sobre a cidade.,The wizard cast a very powerful spell on the city.,The magician has unleashed a very powerful spell on the city!,2.2891273498535156
common_voice_pt_19658601,Duas mulheres e uma menina levantam com troféus.,Two women and a girl pose with trophies.,Two women and a girl get up with trophies.,2.06508469581604
common_voice_pt_19370579,Um cão preto e um cão preto e branco estão correndo na sujeira.,"Two dogs, one black and the other black and white, are running around in the dirt.",A black dog and a black and white dog are running in the dirt.,1.7357351779937744
common_voice_pt_19942727,Eu acho que o nome dela é Olivia.,I think her name is Olivia.,I think her name is Annie.,1.8457238674163818
common_voice_pt_20027288,"Onde quer que você vá, faça o que você verá.","Wherever you go, do what you see.","Wherever you go, do what you see.",1.0185229778289795
common_voice_pt_20027287,Dê o diabo o seu devido.,Give the devil his due.,Give the devil his due.,0.909348726272583
common_voice_pt_19373772,Os taxistas mantêm a greve indefinidamente.,The taxi drivers remain on strike indefinitely.,The taxi drivers are on strike indefinitely.,1.2334206104278564
common_voice_pt_19373774,O cão preto pega um brinquedo na boca enquanto corre no campo.,The black dog catches a toy in its mouth while it runs in the field.,The black dog grabs a toy in its mouth while running in the field.,2.1104352474212646
common_voice_pt_19326085,O rumo do páis é incerto.,The path the country is taking is uncertain.,The world of uncertain peace,0.9494345188140869
common_voice_pt_19326084,O espelho tinha uma parte de metal,The mirror had a part made of metal,From the Spelings to Barton Down.,1.8834223747253418
common_voice_pt_19334135,Estou interessado apenas no presente.,I'm only interested in the present.,I'm only interested in the present.,1.0392069816589355
common_voice_pt_19334129,O objetivo da conversa é,The purpose of the conversation is,The purpose of this conversation is,1.7325835227966309
common_voice_pt_19812269,Eu sou o Senhor,I am the Lord,He is still a singer.,1.632784128189087
common_voice_pt_19401469,Você vai deixá-la sair?,Are you going to let her go out?,Will you let her out?,0.8267698287963867
common_voice_pt_19401470,Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja.,A baby crying surrounded by green? Yellow? And orange toys.,A baby cries while surrounded by green? yellow? and orange toys.,6.883375883102417
common_voice_pt_19468575,Mas eles realmente não sabem o que estão dizendo.,But they really don't know what they are saying.,But they really don't know what they're saying.,2.6425044536590576
common_voice_pt_19468573,Eu realmente não sei o que fazer.,I really don't know what to do.,You're going to tell me something about it.,1.3834037780761719
common_voice_pt_19401484,Um cara tirando dinheiro de um caixa eletrônico.,A guy withdrawing money from an ATM.,A guy taking money out of an ATM.,1.2668266296386719
common_voice_pt_19401483,Um cão pequeno joga com uma bola colorida na areia.,A small dog plays with a colorful ball in the sand.,A small dog plays with a colored ball in the sand.,1.7924644947052002
common_voice_pt_19483322,Nada é tão elástico quanto a seda de uma aranha.,Nothing is as stretchy as a spider's silk.,Nothing is as loose as a spider's web.,1.4910285472869873
common_voice_pt_19483320,Como isso afeta você?,How does this affect you?,I'll be right there.,1.0322537422180176
common_voice_pt_19453196,O encanador apertou a válvula com vazamento.,The plumber tightened the leaking valve.,The charmer squeezed the valve with a leak.,1.537015676498413
common_voice_pt_19453199,Dois homens na varanda olham para cima e apontam para alguma coisa.,Two men on the balcony look up and point at something.,Two men on the porch look up and point to something.,1.5409893989562988
common_voice_pt_19453200,Vingadores Guerra Infinita.,Avengers: Infinity War.,Avengers of the Infinite War,0.9505231380462646
common_voice_pt_19813750,Isso passou pela minha cabeça.,It crossed my mind.,That went through my head.,0.9246189594268799
common_voice_pt_19813749,Quatro crianças com idade escolar estão jogando queimada no ginásio,Four school-aged children are playing dodgeball at the gymnasium.,Four school-age children are playing burnt out in the gym.,1.5079550743103027
common_voice_pt_19813748,Uma fileira de mesas e um banco fora de um restaurante,A row of tables and a bench outside of the restaurant.,A row of tables on a bench outside a restaurant.,1.482252597808838
common_voice_pt_19366241,E ele perguntou ao menino se ele também estava em busca do alquimista.,And he asked the boy if he was also in search of the alchemist.,And he asked the boy if he was also looking for the alchemist.,1.6076388359069824
common_voice_pt_19366239,Honrar vem com sofrimento.,The honor comes with suffering.,Honor comes with suffering.,0.8920772075653076
common_voice_pt_19366240,Bem vindo senhor!,"Welcome, sir!",Welcome to the Lord!,1.6745896339416504
common_voice_pt_19994619,"Homem bonito e bar de vinhos, eles estarão prontos em breve.","A handsome man and a wine bar, they'll be ready soon.","Beautiful man and wine bar, they'll be ready soon.",1.2574336528778076
common_voice_pt_19994621,Cortar o pano de ouro em fitas finas.,Cut the gold cloth into thin ribbons.,Cut the gold cloth into thin strips.,1.2655384540557861
common_voice_pt_19542653,"""Meu nome é Melchizedek?"", disse o velho.","“Is my name Melchizedek?"", said the old man.","""My name is Melchizedek"", said the old man.",1.7683405876159668
common_voice_pt_19542652,Toque no seu cabelo,Touch your hair.,Touch your hair,0.8101935386657715
common_voice_pt_19542651,E esse é o seu casaco.,And this is your coat.,And this is your coat.,1.7994730472564697
common_voice_pt_19818084,Tão feliz quanto o dia é longo,As happy as the day is long.,As happy as the day is long,1.1083669662475586
common_voice_pt_19818083,Um cão do exército sendo treinado por um soldado.,A military dog being trained by a soldier.,An army dog being trained by a soldier.,1.301802158355713
common_voice_pt_19818085,Um grupo de aldeões africanos na escola.,A group of African settlers at the school.,A group of African villagers at school.,1.2209656238555908
