id,sentence_pt,reference_en,canary_translation,latency_sec
common_voice_pt_19484624,Pedir dinheiro emprestado às pessoas da aldeia,Borrow money from people in the village,Ask for money lent to the people of the village.,0.2885160446166992
common_voice_pt_19405032,Trancá-los,Lock them up,I'm crazy.,0.21223688125610352
common_voice_pt_19522569,O Youtube ainda é a melhor plataforma de vídeos.,Youtube is still the best video platform.,YouTube is still the best video platform.,0.31125593185424805
common_voice_pt_19665686,Menina e menino beijando nas sombras,A girl and a boy kissing in the shadows,Girl and boy kissing in the shadows.,0.3013465404510498
common_voice_pt_19854926,O mago lançou um feitiço muito poderoso sobre a cidade.,The wizard cast a very powerful spell on the city.,The wizard found a very powerful spell in the city.,0.30765676498413086
common_voice_pt_19658601,Duas mulheres e uma menina levantam com troféus.,Two women and a girl pose with trophies.,Two women and one boy standing up with trophies.,0.3316218852996826
common_voice_pt_19370579,Um cão preto e um cão preto e branco estão correndo na sujeira.,"Two dogs, one black and the other black and white, are running around in the dirt.",A black dog and a white dog are running in the mud.,0.3064248561859131
common_voice_pt_19942727,Eu acho que o nome dela é Olivia.,I think her name is Olivia.,"Yes, I have it longer.",0.2194957733154297
common_voice_pt_20027288,"Onde quer que você vá, faça o que você verá.","Wherever you go, do what you see.","Wherever you go, do what you see.",0.27191162109375
common_voice_pt_20027287,Dê o diabo o seu devido.,Give the devil his due.,Give the devil his due.,0.23929595947265625
common_voice_pt_19373772,Os taxistas mantêm a greve indefinidamente.,The taxi drivers remain on strike indefinitely.,The taxi drivers maintain the strike indefinitely.,0.29485034942626953
common_voice_pt_19373774,O cão preto pega um brinquedo na boca enquanto corre no campo.,The black dog catches a toy in its mouth while it runs in the field.,The black dog picks a toy out of his mouth while running in the field.,0.3910849094390869
common_voice_pt_19326085,O rumo do páis é incerto.,The path the country is taking is uncertain.,"Anyway, the parents are stuck.",0.25385618209838867
common_voice_pt_19326084,O espelho tinha uma parte de metal,The mirror had a part made of metal,The space has a total part.,0.3021118640899658
common_voice_pt_19334135,Estou interessado apenas no presente.,I'm only interested in the present.,I'm only interested in the present.,0.3453028202056885
common_voice_pt_19334129,O objetivo da conversa é,The purpose of the conversation is,The purpose of this conversation is.,0.3396437168121338
common_voice_pt_19812269,Eu sou o Senhor,I am the Lord,I am so single.,0.317486047744751
common_voice_pt_19401469,Você vai deixá-la sair?,Are you going to let her go out?,Are you going to let her out?,0.38231778144836426
common_voice_pt_19401470,Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja.,A baby crying surrounded by green? Yellow? And orange toys.,"A baby crying while surrounded by green, yellow and orange toys.",0.6498925685882568
common_voice_pt_19468575,Mas eles realmente não sabem o que estão dizendo.,But they really don't know what they are saying.,But they really don't know what they're saying.,0.3881042003631592
common_voice_pt_19468573,Eu realmente não sei o que fazer.,I really don't know what to do.,I have mentioned the project.,0.3126509189605713
common_voice_pt_19401484,Um cara tirando dinheiro de um caixa eletrônico.,A guy withdrawing money from an ATM.,A guy taking money from an electronic box.,0.41528797149658203
common_voice_pt_19401483,Um cão pequeno joga com uma bola colorida na areia.,A small dog plays with a colorful ball in the sand.,A small dog plays with a colored ball in the sand.,0.4307568073272705
common_voice_pt_19483322,Nada é tão elástico quanto a seda de uma aranha.,Nothing is as stretchy as a spider's silk.,Nothing is as elastic as a spider's silk.,0.5136756896972656
common_voice_pt_19483320,Como isso afeta você?,How does this affect you?,How does that affect you?,0.20686101913452148
common_voice_pt_19453196,O encanador apertou a válvula com vazamento.,The plumber tightened the leaking valve.,The blade pressed the valve with leakage.,0.275010347366333
common_voice_pt_19453199,Dois homens na varanda olham para cima e apontam para alguma coisa.,Two men on the balcony look up and point at something.,Two men on the balcony look up and point to something.,0.2820436954498291
common_voice_pt_19453200,Vingadores Guerra Infinita.,Avengers: Infinity War.,Infinite war vingers.,0.23224115371704102
common_voice_pt_19813750,Isso passou pela minha cabeça.,It crossed my mind.,It went through my head.,0.2011103630065918
common_voice_pt_19813749,Quatro crianças com idade escolar estão jogando queimada no ginásio,Four school-aged children are playing dodgeball at the gymnasium.,Four school-age children are playing burnt gymnasium.,0.32731151580810547
common_voice_pt_19813748,Uma fileira de mesas e um banco fora de um restaurante,A row of tables and a bench outside of the restaurant.,A row of tables on a bench outside a restaurant.,0.3364856243133545
common_voice_pt_19366241,E ele perguntou ao menino se ele também estava em busca do alquimista.,And he asked the boy if he was also in search of the alchemist.,And he asked the boy if he was also looking for the alchemist.,0.346773624420166
common_voice_pt_19366239,Honrar vem com sofrimento.,The honor comes with suffering.,Honor comes with suffering.,0.2227344512939453
common_voice_pt_19366240,Bem vindo senhor!,"Welcome, sir!","Welcome, sir.",0.22121453285217285
common_voice_pt_19994619,"Homem bonito e bar de vinhos, eles estarão prontos em breve.","A handsome man and a wine bar, they'll be ready soon.","A handsome man and a wine bar, they will be ready soon.",0.3247721195220947
common_voice_pt_19994621,Cortar o pano de ouro em fitas finas.,Cut the gold cloth into thin ribbons.,Cut the gold plate into thin ribbons.,0.29674553871154785
common_voice_pt_19542653,"""Meu nome é Melchizedek?"", disse o velho.","“Is my name Melchizedek?"", said the old man.","My name is Melchizedek, said the old man.",0.29201292991638184
common_voice_pt_19542652,Toque no seu cabelo,Touch your hair.,Touch your hair.,0.21060585975646973
common_voice_pt_19542651,E esse é o seu casaco.,And this is your coat.,And that is your coat.,0.2340083122253418
common_voice_pt_19818084,Tão feliz quanto o dia é longo,As happy as the day is long.,As happy as the day is long.,0.22664761543273926
common_voice_pt_19818083,Um cão do exército sendo treinado por um soldado.,A military dog being trained by a soldier.,An army dog being trained by a soldier.,0.2586829662322998
common_voice_pt_19818085,Um grupo de aldeões africanos na escola.,A group of African settlers at the school.,A group of African villagers in school.,0.28453588485717773
common_voice_pt_19670183,Essas pílulas fazem menos bem que outras.,These pills are more harmful than others.,These pills are less good than others.,0.2644045352935791
common_voice_pt_19670184,Por que a sarjeta cobre a rodada?,Why is the ditch covering the space?,Why do you throw the rolled copper?,0.26699018478393555
common_voice_pt_19670187,Uma pessoa flutua na água perto de pedras e uma cachoeira.,A person floats in the water near the rocks and the waterfall.,A person floats in the water near Pedras and a waterfall.,0.34830212593078613
common_voice_pt_19584434,Meu cachorro late quando estranhos chegam.,My dog barks when strangers arrive.,My dog when strangers arrive.,0.23372197151184082
common_voice_pt_19584438,Uma mulher cava uma tigela de comida e a come.,A woman prepares a bowl of food and eats it.,A little girl was digging a piece of food and eating it.,0.3441743850708008
common_voice_pt_19584436,"Desculpe, o período de teste expirou.","Sorry, the trial period has expired.","Sorry, the test period has expired.",0.2631847858428955
common_voice_pt_19854693,Eu gostaria de ver O Coração de uma Sereia no meu cinema,I would like to watch The Heart of a Mermaid at the cinema.,I would like to see a serial heart in my cinema.,0.29028868675231934
common_voice_pt_19854690,Pessoas andando pela calçada ao lado de uma linha de lojas.,People walking on the sidewalk next to several stores.,People walking on the sidewalk next to a line of shops.,0.3568439483642578
common_voice_pt_19854691,Papai está com problemas?,Is daddy in trouble?,Dad is having problems.,0.23614192008972168
common_voice_pt_19854692,Um garoto com uma bola de basquete.,A boy with a basketball.,A boat with a basketball.,0.24158859252929688
common_voice_pt_19568138,Nem isso foi tudo.,That wasn't all.,That wasn't all.,0.19754290580749512
common_voice_pt_19568139,Jovens garotas estão dançando.,Young girls are dancing.,Young girls are dancing.,0.2213892936706543
common_voice_pt_19568140,Homem coloca ordem na cafeteria.,A man organizes the coffee shop.,Or put the road in the cafeteria.,0.26084184646606445
common_voice_pt_19568137,"É bem simples, não é?","It's quite simple, isn't it?","It's pretty simple, isn't it?",0.26103663444519043
common_voice_pt_19452404,Eu sei tudo no país.,I know everything in the country.,I know everything about the country.,0.2040698528289795
common_voice_pt_19452403,Vinte mil dólares por ano?,Twenty thousand dollars a year?,Twenty thousand dollars per year?,0.20191621780395508
common_voice_pt_19452402,O desespero é algo que nos assombra à noite.,Anxiety is something that haunts us at night.,Despair is something that shadows us at night.,0.287081241607666
common_voice_pt_19452406,A jaqueta tinha um propósito? e o menino também.,Did the jacket have a purpose? the boy had too.,The jacket had a purpose and the boy too.,0.29857373237609863
